id_venda;operador;valor_total;forma_pagamento;data_venda
6314;Caixa Simulador;1,50;CRÉDITO;05/06/2026 23:51
24204;Caixa Simulador;13,00;DINHEIRO;05/06/2026 23:34
18830;Caixa Simulador;6,00;DÉBITO;05/06/2026 23:13
17623;Caixa Simulador;31,00;PIX;05/06/2026 23:05
6305;Caixa Simulador;15,00;CRÉDITO;05/06/2026 22:48
21136;Caixa Simulador;32,50;DINHEIRO;05/06/2026 21:47
10100;Caixa Simulador;12,00;PIX;05/06/2026 19:11
37273;Caixa Simulador;1,00;CRÉDITO;05/06/2026 18:42
17878;Caixa Simulador;13,00;DÉBITO;05/06/2026 18:42
25014;Caixa Simulador;8,00;DINHEIRO;05/06/2026 18:38
3107;Caixa Simulador;63,00;CRÉDITO;05/06/2026 18:36
3884;Caixa Simulador;66,50;DINHEIRO;05/06/2026 18:31
18656;Caixa Simulador;10,00;DÉBITO;05/06/2026 18:25
35159;Caixa Simulador;20,00;DÉBITO;05/06/2026 18:12
1481;Caixa Simulador;83,00;DINHEIRO;05/06/2026 18:10
15872;Caixa Simulador;57,00;PIX;05/06/2026 18:00
21622;Caixa Simulador;24,50;DINHEIRO;05/06/2026 17:48
32933;Caixa Simulador;2,00;CRÉDITO;05/06/2026 17:29
16828;Caixa Simulador;20,00;CRÉDITO;05/06/2026 17:28
32031;Caixa Simulador;14,50;CRÉDITO;05/06/2026 17:22
33980;Caixa Simulador;14,00;PIX;05/06/2026 17:17
4981;Caixa Simulador;54,00;DINHEIRO;05/06/2026 17:02
21086;Caixa Simulador;58,50;DÉBITO;05/06/2026 17:02
9216;Caixa Simulador;52,00;CRÉDITO;05/06/2026 16:50
9104;Caixa Simulador;92,50;DINHEIRO;05/06/2026 16:41
8892;Caixa Simulador;52,00;DINHEIRO;05/06/2026 16:39
39287;Caixa Simulador;1,00;DÉBITO;05/06/2026 16:22
12918;Caixa Simulador;14,00;DINHEIRO;05/06/2026 16:22
36641;Caixa Simulador;71,00;PIX;05/06/2026 16:20
35569;Caixa Simulador;30,00;CRÉDITO;05/06/2026 16:20
35065;Caixa Simulador;62,50;CRÉDITO;05/06/2026 16:14
29494;Caixa Simulador;11,50;CRÉDITO;05/06/2026 16:05
5669;Caixa Simulador;30,50;PIX;05/06/2026 16:03
15399;Caixa Simulador;97,00;CRÉDITO;05/06/2026 15:37
18472;Caixa Simulador;78,00;DÉBITO;05/06/2026 11:42
19974;Caixa Simulador;49,00;CRÉDITO;05/06/2026 11:13
32388;Caixa Simulador;68,00;PIX;05/06/2026 10:20
33726;Caixa Simulador;36,00;DÉBITO;05/06/2026 10:14
12372;Caixa Simulador;20,00;DÉBITO;05/06/2026 09:19
